NOME_SOLU|VAL_SOLUCAO_INICIAL|VAL_SOLUCAO_POS_REFI|QTD_ITERACOES|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instanceLarge361_m=4_n=100_l=30_c=10_s=0|1780|1780|24|3.96003|0.708912|4.68864
instanceLarge362_m=4_n=100_l=30_c=10_s=1|8252|8426|25|4.37409|0.766383|5.16049
instanceLarge363_m=4_n=100_l=30_c=10_s=2|873|873|23|3.53622|0.646224|4.20104
instanceLarge364_m=4_n=100_l=30_c=10_s=0|2918|2918|25|4.26289|0.766749|5.05016
instanceLarge365_m=4_n=100_l=30_c=10_s=1|8362|8430|8|4.3977|0.260092|4.67686
instanceLarge366_m=4_n=100_l=30_c=10_s=2|909|908|46|3.60446|1.41152|5.03609
instanceLarge367_m=4_n=100_l=30_c=10_s=0|6669|6716|24|4.36994|0.740608|5.13102
instanceLarge368_m=4_n=100_l=30_c=10_s=1|8082|7945|98|4.36386|3.4215|7.81038
instanceLarge369_m=4_n=100_l=30_c=10_s=2|826|825|46|3.47042|1.33689|4.82737
instanceLarge370_m=4_n=100_l=30_c=10_s=0|7327|7327|10|4.44599|0.38216|4.84763
instanceLarge371_m=4_n=100_l=30_c=10_s=1|8344|8344|10|4.41916|0.326348|4.765
instanceLarge372_m=4_n=100_l=30_c=10_s=2|814|815|17|3.54601|0.48532|4.04963
instanceLarge373_m=4_n=100_l=30_c=10_s=0|4930|5004|24|4.31448|0.732068|5.06669
instanceLarge374_m=4_n=100_l=30_c=10_s=1|8395|8728|5|4.33969|0.173798|4.53213
instanceLarge375_m=4_n=100_l=30_c=10_s=2|869|866|47|3.47236|1.3386|4.83047
instanceLarge376_m=4_n=100_l=30_c=10_s=0|5990|6037|5|4.51094|0.178016|4.70832
instanceLarge377_m=4_n=100_l=30_c=10_s=1|8357|8383|48|4.41711|1.54893|5.98795
instanceLarge378_m=4_n=100_l=30_c=10_s=2|877|877|23|3.55709|0.637151|4.21303
instanceLarge379_m=4_n=100_l=30_c=10_s=0|3942|3895|72|4.45643|2.51963|6.99968
