NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instance1000_m=3_n=25_l=15_c=10_s=0|316|8|316|8|2|não|0.0049644|0.0009583|0.0062047
instance1001_m=3_n=25_l=15_c=10_s=1|472|8|472|8|2|não|0.0063984|0.0016461|0.0083285
instance1002_m=3_n=25_l=15_c=10_s=2|258|7|258|7|1|não|0.0050561|0.0010259|0.0063808
instance1003_m=3_n=25_l=15_c=10_s=0|328|5|328|5|1|não|0.0050074|0.0005726|0.0058178
instance1004_m=3_n=25_l=15_c=10_s=1|419|4|419|4|2|não|0.0048899|0.0007925|0.0059163
instance1005_m=3_n=25_l=15_c=10_s=2|312|6|312|6|3|não|0.0061085|0.0013315|0.0077252
instance1006_m=3_n=25_l=15_c=10_s=0|352|12|352|12|1|não|0.0105191|0.0011794|0.0121248
instance1007_m=3_n=25_l=15_c=10_s=1|590|12|590|12|2|não|0.0074368|0.0012394|0.0090447
instance1008_m=3_n=25_l=15_c=10_s=2|284|12|284|12|3|não|0.0129545|0.0022125|0.0155535
instance1009_m=3_n=25_l=15_c=10_s=0|590|13|590|13|2|não|0.0064451|0.0012048|0.008011
instance1010_m=3_n=25_l=15_c=10_s=1|734|13|734|13|2|não|0.0058061|0.0012041|0.0073686
instance1011_m=3_n=25_l=15_c=10_s=2|340|9|340|9|2|não|0.0056898|0.0010395|0.0070385
instance1012_m=3_n=25_l=15_c=10_s=0|512|12|512|12|2|não|0.0057026|0.0012331|0.0073008
instance1013_m=3_n=25_l=15_c=10_s=1|622|12|622|12|2|não|0.0057088|0.0012322|0.0073063
instance1014_m=3_n=25_l=15_c=10_s=2|283|8|283|8|3|não|0.0070695|0.0014504|0.0088465
instance1015_m=3_n=25_l=15_c=10_s=0|270|7|270|7|1|não|0.0054135|0.0012175|0.0071483
instance1016_m=3_n=25_l=15_c=10_s=1|428|7|428|7|2|não|0.0057508|0.0009121|0.0069332
instance1017_m=3_n=25_l=15_c=10_s=2|263|8|263|8|2|não|0.0053027|0.0009571|0.0065446
instance1018_m=3_n=25_l=15_c=10_s=0|434|6|434|6|2|não|0.0054021|0.0008647|0.0065253
instance1019_m=3_n=25_l=15_c=10_s=1|460|6|460|6|2|não|0.0054569|0.0008724|0.0065886
instance1020_m=3_n=25_l=15_c=10_s=2|322|10|322|10|2|não|0.0059702|0.0010508|0.0073307
instance1021_m=3_n=25_l=15_c=10_s=0|552|17|552|17|4|não|0.0105215|0.0027156|0.0137426
instance1022_m=3_n=25_l=15_c=10_s=1|589|13|589|13|2|não|0.0101249|0.0014257|0.0119779
instance1023_m=3_n=25_l=15_c=10_s=2|323|16|323|16|2|não|0.0103783|0.0016207|0.0124852
instance1024_m=3_n=25_l=15_c=10_s=0|429|12|429|12|2|não|0.0141338|0.0026885|0.0176338
instance1025_m=3_n=25_l=15_c=10_s=1|525|12|525|12|2|não|0.0105671|0.0013712|0.0123452
instance1026_m=3_n=25_l=15_c=10_s=2|279|11|279|11|1|não|0.0077821|0.000994|0.0092004
instance1027_m=3_n=25_l=15_c=10_s=0|513|14|513|14|2|não|0.0074773|0.0015212|0.0094487
instance1028_m=3_n=25_l=15_c=10_s=1|593|14|593|14|2|não|0.007574|0.0015525|0.009585
instance1029_m=3_n=25_l=15_c=10_s=2|262|12|262|12|4|não|0.0076303|0.0025408|0.0106422
instance1030_m=3_n=25_l=15_c=10_s=0|369|13|369|13|3|não|0.0073413|0.0023088|0.0101462
instance1031_m=3_n=25_l=15_c=10_s=1|576|12|576|12|2|não|0.0069986|0.0015721|0.0092967
instance1032_m=3_n=25_l=15_c=10_s=2|282|9|282|9|1|não|0.0070623|0.0008721|0.0083065
instance1033_m=3_n=25_l=15_c=10_s=0|392|11|392|11|2|não|0.009114|0.0012131|0.0106853
instance1034_m=3_n=25_l=15_c=10_s=1|477|11|477|11|2|não|0.0077213|0.0013715|0.0095038
instance1035_m=3_n=25_l=15_c=10_s=2|244|11|244|11|2|não|0.0070483|0.0012123|0.0086194
instance1036_m=3_n=25_l=15_c=10_s=0|294|11|294|11|3|não|0.0071123|0.001766|0.0092839
instance1037_m=3_n=25_l=15_c=10_s=1|441|9|441|9|2|não|0.0079495|0.0012377|0.009555
instance1038_m=3_n=25_l=15_c=10_s=2|218|7|218|7|0|não|0.0089846|0.000447|0.0097644
instance1039_m=3_n=25_l=15_c=10_s=0|479|11|479|11|2|não|0.006667|0.0012676|0.0083113
instance1040_m=3_n=25_l=15_c=10_s=1|563|11|563|11|2|não|0.0070105|0.0015945|0.0090262
instance1041_m=3_n=25_l=15_c=10_s=2|296|10|296|10|2|não|0.0072686|0.0020001|0.0096467
instance1042_m=3_n=25_l=15_c=10_s=0|415|9|415|9|2|não|0.0062469|0.0011853|0.0077675
instance1043_m=3_n=25_l=15_c=10_s=1|463|9|463|9|2|não|0.010369|0.0010979|0.0117929
instance1044_m=3_n=25_l=15_c=10_s=2|239|8|239|8|2|não|0.0082893|0.0021594|0.0109385
instance1045_m=3_n=25_l=15_c=10_s=0|396|13|396|13|3|não|0.0089087|0.0023102|0.0117457
instance1046_m=3_n=25_l=15_c=10_s=1|636|13|636|13|3|não|0.0086025|0.0019779|0.0110276
instance1047_m=3_n=25_l=15_c=10_s=2|254|7|254|7|3|não|0.0071417|0.0016664|0.0091818
instance1048_m=3_n=25_l=15_c=10_s=0|499|12|499|12|3|não|0.0083171|0.0020986|0.0108602
instance1049_m=3_n=25_l=15_c=10_s=1|599|12|599|12|3|não|0.0078302|0.0016443|0.0098509
instance1050_m=3_n=25_l=15_c=10_s=2|314|11|314|11|3|não|0.0078379|0.0016946|0.0102557
instance1051_m=3_n=25_l=15_c=10_s=0|207|7|207|7|1|não|0.0072037|0.0007291|0.0082409
